iBike,13,metric
2017,7,4,6,0,24
4th July - CIET Loop,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
73.935556,478.000000,0.375000,2.468199,1.000000,0.000000,123.139200,2105.0,14.85,1013.25,-8,1.05932,0.20,73.9,0.000,1.0204,0.35400,0.005403,CIET Loop on Small Ring with focus on High Cadence,5.50,"iBike Newton, 6.22",1:39:12,40.61,457.8,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
19.3121,12.4793,164.2241,0.0054,74,158,455.676,1.7,27.2222,1,,0,0,0,2017-07-04T00:30:24Z,0,0.354,1.113
21.2433,15.7027,142.2159,0.0113,75,158,455.676,1.3,27.2222,,,0,0,0,2017-07-04T00:30:25Z,1,0.354,1.113
21.8871,19.0624,178,0.0173,77,170,455.3712,0.8,27.2222,,,0,0,0,2017-07-04T00:30:26Z,2,0.354,1.113
22.2089,18.0123,170,0.0235,78,170,455.676,0.6,27.2222,,,0,0,0,2017-07-04T00:30:27Z,3,0.354,1.113
22.3699,19.0624,154,0.0297,70,179,455.676,0.8,27.2222,,,0,0,0,2017-07-04T00:30:28Z,4,0.354,1.113
22.5308,18.0119,87,0.036,70,181,455.676,0.9,27.2222,,,0,0,0,2017-07-04T00:30:29Z,5,0.354,1.113
22.2089,17.2764,170,0.0422,58,183,455.3712,1.5,27.2222,,,0,0,0,2017-07-04T00:30:30Z,6,0.354,1.113
22.048,15.2836,99,0.0483,58,183,455.3712,1.4,27.2222,,,0,0,0,2017-07-04T00:30:31Z,7,0.354,1.113
21.7261,13.4789,68,0.0543,47,183,455.3712,1.3,27.2222,,,0,0,0,2017-07-04T00:30:32Z,8,0.354,1.113
21.2433,10.8072,0,0.0602,34,183,455.3712,1.2,27.2222,,,0,0,0,2017-07-04T00:30:33Z,9,0.354,1.113
19.634,9.5308,0,0.0657,0,183,455.3712,0.1,27.2222,,,0,0,0,2017-07-04T00:30:34Z,10,0.354,1.113
16.4153,5.0945,0,0.0702,0,183,455.3712,-0.4,27.2222,,,0,0,0,2017-07-04T00:30:35Z,11,0.354,1.113
13.1966,0,0,0.0739,0,183,455.3712,-1.3,27.2222,,,0,0,0,2017-07-04T00:30:36Z,12,0.354,1.113
10.1389,0,0,0.0767,0,183,455.3712,-2.7,27.2222,,,0,0,0,2017-07-04T00:30:37Z,13,0.354,1.113
8.0467,0,0,0.0789,0,183,455.3712,-3.1,27.2222,,,0,0,0,2017-07-04T00:30:38Z,14,0.354,1.113
7.7249,0,0,0.0811,0,183,455.3712,-3.1,27.2222,,,0,0,0,2017-07-04T00:30:39Z,15,0.354,1.113
9.6561,0,0,0.0838,0,183,455.3712,-2.3,27.2222,,,0,0,0,2017-07-04T00:30:40Z,16,0.354,1.113
11.4263,0,0,0.0869,0,183,455.3712,-0.5,27.2222,,,0,0,0,2017-07-04T00:30:41Z,17,0.354,1.113
13.5185,0,0,0.0907,0,183,455.3712,0.3,27.2222,,,0,0,0,2017-07-04T00:30:42Z,18,0.354,1.113
