iBike,13,metric
2017,7,5,6,6,32
July 5th Poondi,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
73.935556,463.000000,0.375000,2.468199,1.000000,0.000000,113.080800,2105.0,14.85,1013.25,-8,1.05932,0.20,73.9,0.000,1.0204,0.35400,0.005403,Ride with Ganesh Raaja Sir,5.50,"iBike Newton, 6.22",2:09:30,48.60,444.6,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
13.0357,5.0997,0,0.0036,0.001,110,456.8952,-1.8,27.7778,1,,0,0,0,2017-07-05T00:36:32Z,0,0.354,1.1108
13.1966,0,109.9657,0.0073,0.001,110,456.8952,-2.3,27.7778,,,0,0,0,2017-07-05T00:36:33Z,1,0.354,1.1107
13.6794,0,121.4985,0.0111,0.001,110,456.8952,-2.3,27.7778,,,0,0,0,2017-07-05T00:36:34Z,2,0.354,1.1106
14.3232,0,87,0.0151,0,110,456.8952,-1.9,27.7778,,,0,0,0,2017-07-05T00:36:35Z,3,0.354,1.1106
15.4497,0,76,0.0194,0,110,456.8952,-1,27.7778,,,0,0,0,2017-07-05T00:36:36Z,4,0.354,1.1107
0,5.0997,67,0.0194,0,0,456.8952,-0.1,27.7778,,,0,0,0,2017-07-05T00:36:37Z,5,0.354,1.1108
0.4828,9.5405,0,0.0195,0,0,456.8952,0.8,27.7778,,,0,0,0,2017-07-05T00:36:38Z,6,0.354,1.1108
6.4374,9.5407,0,0.0213,0,0,456.8952,1.2,27.7778,,,0,0,0,2017-07-05T00:36:39Z,7,0.354,1.1108
18.0247,8.8328,59,0.0263,0,110,456.8952,1.2,27.7778,,,0,0,0,2017-07-05T00:36:40Z,8,0.354,1.1108
18.3465,8.8328,0,0.0314,0,110,456.8952,0.7,27.7778,,,0,0,0,2017-07-05T00:36:41Z,9,0.354,1.1108
