iBike,13,metric
2017,7,6,6,8,26
July 6th  Anuvavi,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
73.935556,245.842000,0.375000,2.468199,1.000000,0.000000,51.206400,2105.0,14.85,1013.25,-8,1.05932,0.20,73.9,0.000,1.0204,0.35400,0.005403,,5.50,"iBike Newton, 6.22",1:08:44,24.35,235.7,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
14.3232,5.0988,0,0.004,0.001,106,453.8472,-1.1,27.7778,1,,0,0,0,2017-07-06T00:38:26Z,0,0.354,1.1112
0,8.0625,0,0.004,0.001,0,453.8472,-1.1,27.7778,,,0,0,0,2017-07-06T00:38:27Z,1,0.354,1.111
2.575,9.5397,0,0.0047,75,0,453.5424,-0.6,27.7778,,,0,0,0,2017-07-06T00:38:29Z,2,0.354,1.111
18.3465,10.1978,46.3257,0.0098,75,107,453.5424,-0.6,27.7778,,,0,0,0,2017-07-06T00:38:30Z,3,0.354,1.1111
19.3121,10.1976,46,0.0152,75,107,453.5424,-0.6,27.7778,,,0,0,0,2017-07-06T00:38:31Z,4,0.354,1.1112
19.4731,10.8162,55,0.0206,75,107,453.2376,-0.8,27.7778,,,0,0,0,2017-07-06T00:38:32Z,5,0.354,1.1112
19.4731,11.4012,0,0.026,79,107,453.2376,-1,27.7778,,,0,0,0,2017-07-06T00:38:33Z,6,0.354,1.1112
20.2777,13.9636,0,0.0317,59,107,452.9328,-1.2,27.7778,,,0,0,0,2017-07-06T00:38:34Z,7,0.354,1.1112
20.4387,13.4901,0,0.0373,30,107,452.9328,-1.4,27.7778,,,0,0,0,2017-07-06T00:38:35Z,8,0.354,1.1112
20.7605,11.9577,0,0.0431,0,107,452.628,-2.3,27.7778,,,0,0,0,2017-07-06T00:38:36Z,9,0.354,1.1112
21.0824,11.9575,0,0.049,44,106,452.628,-2.5,27.7778,,,0,0,0,2017-07-06T00:38:37Z,10,0.354,1.1112
21.4043,10.1974,0,0.0549,44,106,452.628,-2.3,27.7778,,,0,0,0,2017-07-06T00:38:38Z,11,0.354,1.1112
21.7261,10.816,0,0.0609,0,105,452.3232,-2.4,27.7778,,,0,0,0,2017-07-06T00:38:39Z,12,0.354,1.1112
21.8871,11.4008,0,0.067,0,105,452.628,-2.4,27.7778,,,0,0,0,2017-07-06T00:38:40Z,13,0.354,1.1112
22.3699,12.489,0,0.0732,0,104,452.628,-2.4,27.7778,,,0,0,0,2017-07-06T00:38:41Z,14,0.354,1.1112
22.6918,11.9571,0,0.0795,0,103,452.628,-2.2,27.7778,,,0,0,0,2017-07-06T00:38:42Z,15,0.354,1.1113
23.0136,13.4894,0,0.0859,0,102,452.628,-2.4,27.7778,,,0,0,0,2017-07-06T00:38:43Z,16,0.354,1.1113
22.8527,13.4891,0,0.0923,0,101,452.628,-2.5,27.7778,,,0,0,0,2017-07-06T00:38:44Z,17,0.354,1.1113
22.5308,12.9985,0,0.0985,0,101,452.628,-2.1,27.7778,,,0,0,0,2017-07-06T00:38:45Z,18,0.354,1.1113
22.3699,12.9985,0,0.1047,0,101,452.3232,-1.9,27.7778,,,0,0,0,2017-07-06T00:38:46Z,19,0.354,1.1113
21.8871,12.4883,0,0.1108,83,101,452.3232,-0.9,27.7778,,,0,0,0,2017-07-06T00:38:47Z,20,0.354,1.1114
21.5652,11.4004,0,0.1168,83,100,452.3232,-0.4,27.7778,,,0,0,0,2017-07-06T00:38:48Z,21,0.354,1.1113
21.0824,12.9985,45,0.1227,38,100,452.3232,0.1,27.7778,,,0,0,0,2017-07-06T00:38:49Z,22,0.354,1.1113
21.0824,12.4885,53,0.1285,84,99,452.3232,0.2,27.7778,,,0,0,0,2017-07-06T00:38:50Z,23,0.354,1.1113
21.2433,13.9626,0,0.1344,67,99,452.3232,-0.3,27.7778,,,0,0,0,2017-07-06T00:38:51Z,24,0.354,1.1113
20.9215,12.9985,0,0.1402,67,99,452.628,-0.8,27.7778,,,0,0,0,2017-07-06T00:38:52Z,25,0.354,1.1113
18.3465,8.8307,0,0.1453,37,99,452.628,-1.9,27.7778,,,0,0,0,2017-07-06T00:38:53Z,26,0.354,1.1113
13.8404,6.2441,0,0.1492,0,99,452.628,-2,27.7778,,,0,0,0,2017-07-06T00:38:54Z,27,0.354,1.1114
