iBike,13,metric
2017,7,7,6,13,44
July 7th Marudhamalai,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
73.935556,485.000000,0.375000,2.468199,1.000000,0.000000,360.883200,2105.0,14.85,1013.25,-8,1.05932,0.20,73.9,0.000,1.0204,0.35400,0.005403,5x Hard Muscular Endurance at Marudhamalai. First and last are warm up and cool down,5.50,"iBike Newton, 6.22",1:37:22,35.97,464.3,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
2.575,12.4843,0,0.0007,0.001,0,461.4672,-0.5,27.2222,1,,0,0,0,2017-07-07T00:43:46Z,0,0.354,1.1121
6.5983,13.4846,0,0.0025,0.001,0,461.4672,-0.5,27.2222,,,0,0,0,2017-07-07T00:43:47Z,1,0.354,1.1121
18.1856,13.4846,0,0.0076,0.001,0,461.4672,-0.5,27.2222,,,0,0,0,2017-07-07T00:43:48Z,2,0.354,1.1121
18.1856,9.5348,0,0.0127,0.001,0,461.4672,-1.5,27.2222,,,0,0,0,2017-07-07T00:43:49Z,3,0.354,1.1121
17.8637,8.8276,0,0.0176,0,0,461.772,-3.5,27.2222,,,0,0,0,2017-07-07T00:43:50Z,4,0.354,1.1121
12.8748,5.0965,0,0.0212,0,0,461.772,-4.5,27.2222,,,0,0,0,2017-07-07T00:43:51Z,5,0.354,1.1122
7.5639,3.6038,0,0.0233,0,0,461.772,-4.5,27.2222,,,0,0,0,2017-07-07T00:43:52Z,6,0.354,1.1122
6.9202,0,0,0.0252,0,0,461.772,-3.5,27.2222,,,0,0,0,2017-07-07T00:43:53Z,7,0.354,1.1122
6.9202,3.6038,0,0.0271,0,0,461.772,-2.5,27.2222,,,0,0,0,2017-07-07T00:43:54Z,8,0.354,1.1122
8.3686,5.0965,0,0.0295,0,0,461.772,-1.5,27.2222,,,0,0,0,2017-07-07T00:43:55Z,9,0.354,1.1122
