iBike,13,metric
2017,7,8,6,11,18
July 8th Anaikatti,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
73.935556,531.818603,0.375000,2.468199,1.000000,0.000000,245.990669,2105.0,14.85,1013.25,-8,1.05932,0.20,73.9,0.000,1.0204,0.35400,0.005403,To Anaikatti Ashram. High cadence on the approach road and zone 3 on the climb,5.50,"iBike Newton, 6.22",1:44:26,39.91,508.8,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
15.6106,13.0044,0,0.0043,65,128,460.248,-0.7,27.7778,1,,0,0,0,2017-07-08T00:41:18Z,0,0.354,1.1103
0,10.8207,0,0.0043,0.001,0,460.1505,-0.4,27.7778,,,0,0,0,2017-07-08T00:41:19Z,1,0.354,1.1102
16.7372,9.5424,0,0.009,0,139,460.0529,-1,27.7778,,,0,0,0,2017-07-08T00:41:22Z,2,0.354,1.1103
16.5762,8.8346,0,0.0136,0,139,459.9554,-1.4,27.7778,,,0,0,0,2017-07-08T00:41:23Z,3,0.354,1.1103
15.9325,6.247,0,0.018,0,139,459.8579,-2.3,27.7778,,,0,0,0,2017-07-08T00:41:24Z,4,0.354,1.1103
14.1622,6.247,0,0.0219,0,138,459.7603,-3.7,27.7778,,,0,0,0,2017-07-08T00:41:25Z,5,0.354,1.1103
11.7482,5.1006,0,0.0252,0,138,459.6628,-4.1,27.7778,,,0,0,0,2017-07-08T00:41:26Z,6,0.354,1.1103
12.0701,5.1006,0,0.0286,0,147,459.5652,-5,27.7778,,,0,0,0,2017-07-08T00:41:27Z,7,0.354,1.1104
14.0013,8.0647,47,0.0325,57,147,459.4677,-5,27.7778,,,0,0,0,2017-07-08T00:41:28Z,8,0.354,1.1104
14.806,9.5421,94,0.0366,60,147,459.3702,-4,27.7778,,,0,0,0,2017-07-08T00:41:29Z,9,0.354,1.1104
15.7716,10.2009,107,0.0409,64,147,459.2726,-3.2,27.7778,,,0,0,0,2017-07-08T00:41:30Z,10,0.354,1.1104
16.8981,11.405,77,0.0456,67,147,459.1751,-1.9,27.7778,,,0,0,0,2017-07-08T00:41:31Z,11,0.354,1.1104
17.22,11.3944,78,0.0504,70,147,459.0776,-0.9,27.2222,,,0,0,0,2017-07-08T00:41:32Z,12,0.354,1.1125
17.5418,10.8197,61,0.0553,70,147,458.98,-0.4,27.7778,,,0,0,0,2017-07-08T00:41:33Z,13,0.354,1.1104
17.8637,12.482,54,0.0603,71,147,458.8825,-0.2,27.2222,,,0,0,0,2017-07-08T00:41:34Z,14,0.354,1.1125
18.1856,12.4935,51,0.0653,73,147,458.785,-0.1,27.7778,,,0,0,0,2017-07-08T00:41:35Z,15,0.354,1.1104
18.6684,12.9917,0,0.0705,75,147,458.6874,-0.7,27.2222,,,0,0,0,2017-07-08T00:41:36Z,16,0.354,1.1125
18.9903,13.0034,74,0.0758,76,147,458.5899,-0.7,27.7778,,,0,0,0,2017-07-08T00:41:37Z,17,0.354,1.1105
19.4731,13.955,54,0.0812,78,147,458.4924,-0.9,27.2222,,,0,0,0,2017-07-08T00:41:38Z,18,0.354,1.1125
19.7949,14.4127,60,0.0867,79,147,458.1876,-0.8,27.2222,,,0,0,0,2017-07-08T00:41:39Z,19,0.354,1.1125
19.9559,14.4127,0,0.0922,79,147,458.1876,-0.4,27.2222,,,0,0,0,2017-07-08T00:41:40Z,20,0.354,1.1125
20.1168,15.287,0,0.0978,74,147,457.8828,-0.8,27.2222,,,0,0,0,2017-07-08T00:41:41Z,21,0.354,1.1125
20.2777,15.7059,0,0.1034,51,147,457.8828,-1.2,27.2222,,,0,0,0,2017-07-08T00:41:42Z,22,0.354,1.1125
20.2777,16.5118,0,0.1091,56,147,457.578,-1.8,27.2222,,,0,0,0,2017-07-08T00:41:43Z,23,0.354,1.1125
20.5996,15.7056,36,0.1148,84,147,457.578,-1.9,27.2222,,,0,0,0,2017-07-08T00:41:44Z,24,0.354,1.1126
21.2433,16.5115,0,0.1207,87,138,457.2732,-2.2,27.2222,,,0,0,0,2017-07-08T00:41:45Z,25,0.354,1.1126
21.8871,17.6512,49,0.1268,88,138,457.578,-2.1,27.2222,,,0,0,0,2017-07-08T00:41:46Z,26,0.354,1.1126
22.3699,18.7216,0,0.133,90,138,457.578,-2.1,27.2222,,,0,0,0,2017-07-08T00:41:47Z,27,0.354,1.1126
22.8527,18.3717,49,0.1393,93,132,457.578,-2.1,27.2222,,,0,0,0,2017-07-08T00:41:48Z,28,0.354,1.1126
23.3355,19.0648,0,0.1458,93,132,457.578,-2.2,27.2222,,,0,0,0,2017-07-08T00:41:49Z,29,0.354,1.1127
23.8183,20.3811,0,0.1524,43,132,457.578,-2.3,27.2222,,,0,0,0,2017-07-08T00:41:50Z,30,0.354,1.1127
23.4964,19.0645,0,0.159,0,130,457.578,-1.9,27.2222,,,0,0,0,2017-07-08T00:41:51Z,31,0.354,1.1127
23.0136,18.7209,0,0.1654,0,130,457.578,-2,27.2222,,,0,0,0,2017-07-08T00:41:52Z,32,0.354,1.1127
22.6918,18.0139,0,0.1717,0,130,457.578,-1.8,27.2222,,,0,0,0,2017-07-08T00:41:53Z,33,0.354,1.1128
22.2089,18.0142,56,0.1778,87,130,457.578,-1.2,27.2222,,,0,0,0,2017-07-08T00:41:54Z,34,0.354,1.1127
22.048,18.371,63,0.184,88,130,457.578,-1.1,27.2222,,,0,0,0,2017-07-08T00:41:55Z,35,0.354,1.1127
22.048,16.8988,54,0.1901,87,130,457.8828,-0.6,27.2222,,,0,0,0,2017-07-08T00:41:56Z,36,0.354,1.1127
22.048,16.8988,54,0.1962,87,130,457.8828,-0.1,27.2222,,,0,0,0,2017-07-08T00:41:57Z,37,0.354,1.1127
22.2089,17.6503,93,0.2024,88,130,457.8828,-0.1,27.2222,,,0,0,0,2017-07-08T00:41:58Z,38,0.354,1.1127
22.3699,17.6503,87,0.2086,89,130,457.8828,0.2,27.2222,,,0,0,0,2017-07-08T00:41:59Z,39,0.354,1.1127
22.3699,17.6503,105,0.2148,89,130,457.8828,0.2,27.2222,,,0,0,0,2017-07-08T00:42:00Z,40,0.354,1.1127
22.3699,18.0142,72,0.221,88,130,457.8828,0.4,27.2222,,,0,0,0,2017-07-08T00:42:01Z,41,0.354,1.1127
22.048,18.0142,69,0.2271,87,130,457.8828,0.7,27.2222,,,0,0,0,2017-07-08T00:42:02Z,42,0.354,1.1127
21.7261,17.6503,67,0.2332,86,130,457.8828,0.8,27.2222,,,0,0,0,2017-07-08T00:42:03Z,43,0.354,1.1127
21.5652,15.2859,72,0.2392,85,130,458.1876,1.1,27.2222,,,0,0,0,2017-07-08T00:42:04Z,44,0.354,1.1127
21.4043,14.4116,78,0.2451,83,126,458.4924,1.2,27.2222,,,0,0,0,2017-07-08T00:42:05Z,45,0.354,1.1127
20.9215,13.954,67,0.2509,82,126,458.7972,1.4,27.2222,,,0,0,0,2017-07-08T00:42:06Z,46,0.354,1.1127
20.5996,14.8552,76,0.2566,81,126,458.7972,1.4,27.2222,,,0,0,0,2017-07-08T00:42:07Z,47,0.354,1.1127
20.5996,13.954,70,0.2624,81,126,458.7972,1.3,27.2222,,,0,0,0,2017-07-08T00:42:08Z,48,0.354,1.1127
20.4387,14.4116,83,0.268,80,126,458.7972,1.4,27.2222,,,0,0,0,2017-07-08T00:42:09Z,49,0.354,1.1127
20.1168,13.954,85,0.2736,80,126,458.7972,1.4,27.2222,,,0,0,0,2017-07-08T00:42:10Z,50,0.354,1.1127
19.3121,13.4809,60,0.279,73,126,459.102,2,27.2222,,,0,0,0,2017-07-08T00:42:11Z,51,0.354,1.1127
18.1856,14.8555,86,0.284,70,126,459.102,2.8,27.2222,,,0,0,0,2017-07-08T00:42:12Z,52,0.354,1.1126
17.5418,12.4813,64,0.2889,67,126,459.102,3.1,27.2222,,,0,0,0,2017-07-08T00:42:13Z,53,0.354,1.1126
16.7372,7.2062,95,0.2936,66,126,459.102,3.5,27.2222,,,0,0,0,2017-07-08T00:42:14Z,54,0.354,1.1126
16.4153,8.0568,0,0.2981,63,126,459.102,3,27.2222,,,0,0,0,2017-07-08T00:42:15Z,55,0.354,1.1126
16.2544,10.8093,85,0.3026,65,126,459.102,2.3,27.2222,,,0,0,0,2017-07-08T00:42:16Z,56,0.354,1.1126
