iBike,13,metric
2017,10,23,6,41,20
,<-Weight (kg) Energy (kJ),Aero,Fric,dt,Ref Elev (m),Climbing (m),Wheel Circ (mm),Ref Temper (degC),Ref Press (mbar),Internal,Wind Scaling,Riding Tilt (%),Cal Weight (kg),Internal,Cm,CdA (m^2),Crr,Note,UTC Time Zone Offset,Creator,Ride Duration,Ride Distance (km),Calories Burned (kcal),Trainer Ride,Device
76.203518,138.000000,0.375000,2.468199,1.000000,0.000000,54.254400,2096.0,14.85,1013.25,-8,1.05932,0.20,73.9,0.000,1.0204,0.35400,0.005403,,5.50,"iBike Newton, 6.22",0:43:52,13.61,132.9,FALSE,iBike Newton
Speed (km/hr),Wind Speed (km/hr),Power (W),Distance (km),Cadence (RPM),Heartrate (BPM),Elevation (meters),Hill slope (%),Temperature (degC),Lap Marker,Annotation,DFPM Power,Latitude,Longitude,Timestamp,Moving Time,CdA (m^2),Air Dens (kg/m^3)
12.3919,0,178.4527,0.0034,0.001,0,440.7408,-1.7,26.1111,1,,0,0,0,2017-10-23T01:11:20Z,0,0.354,1.1191
14.3232,5.081,215.571,0.0074,0.001,0,440.7408,-1.7,26.1111,,,0,0,0,2017-10-23T01:11:21Z,1,0.354,1.1189
14.1622,6.2232,136,0.0114,0,92,440.436,-1.2,26.1111,,,0,0,0,2017-10-23T01:11:22Z,2,0.354,1.1189
0,13.4439,87,0.0114,0,0,440.436,-0.2,26.1111,,,0,0,0,2017-10-23T01:11:23Z,3,0.354,1.1188
12.7138,9.5059,311,0.0149,63,94,440.436,-1.7,26.1111,,,0,0,0,2017-10-23T01:11:28Z,4,0.354,1.1189
15.9325,12.4461,238,0.0193,50,95,440.436,-2,26.1111,,,0,0,0,2017-10-23T01:11:29Z,5,0.354,1.1189
16.7372,12.4461,171,0.024,74,97,440.436,-1.8,26.1111,,,0,0,0,2017-10-23T01:11:30Z,6,0.354,1.1189
16.5762,11.9163,193,0.0286,74,98,440.436,-1,26.1111,,,0,0,0,2017-10-23T01:11:31Z,7,0.354,1.1189
16.7372,11.9163,189,0.0332,75,99,440.436,0.7,26.1111,,,0,0,0,2017-10-23T01:11:32Z,8,0.354,1.1189
17.059,11.9163,184,0.038,76,101,440.436,2,26.1111,,,0,0,0,2017-10-23T01:11:33Z,9,0.354,1.1189
17.3809,12.4459,198,0.0428,78,102,440.436,2.9,26.1111,,,0,0,0,2017-10-23T01:11:34Z,10,0.354,1.1189
17.5418,11.9161,228,0.0477,79,104,440.436,3.7,26.1111,,,0,0,0,2017-10-23T01:11:35Z,11,0.354,1.1189
17.7028,13.4431,194,0.0526,79,104,440.436,3.7,26.1111,,,0,0,0,2017-10-23T01:11:36Z,12,0.354,1.1189
18.1856,13.4431,170,0.0576,73,105,440.436,3.4,26.1111,,,0,0,0,2017-10-23T01:11:37Z,13,0.354,1.1189
18.0247,12.4459,134,0.0626,56,106,440.1312,3.4,26.1111,,,0,0,0,2017-10-23T01:11:38Z,14,0.354,1.1189
17.7028,12.4459,122,0.0675,33,106,440.1312,3.1,26.1111,,,0,0,0,2017-10-23T01:11:39Z,15,0.354,1.1189
17.3809,11.9161,0,0.0724,0,106,439.8264,3.2,26.1111,,,0,0,0,2017-10-23T01:11:40Z,16,0.354,1.1189
16.8981,11.3615,0,0.0771,0,105,439.8264,3.7,26.1111,,,0,0,0,2017-10-23T01:11:41Z,17,0.354,1.1189
16.7372,10.162,0,0.0817,0,104,439.8264,4.2,26.1111,,,0,0,0,2017-10-23T01:11:42Z,18,0.354,1.1189
17.22,10.162,205,0.0865,76,103,439.8264,4.1,26.1111,,,0,0,0,2017-10-23T01:11:43Z,19,0.354,1.1189
17.8637,10.7785,221,0.0915,72,103,440.1312,4.1,26.1111,,,0,0,0,2017-10-23T01:11:44Z,20,0.354,1.1189
18.0247,10.162,186,0.0965,72,102,440.1312,3.8,26.1111,,,0,0,0,2017-10-23T01:11:45Z,21,0.354,1.1189
18.0247,10.1619,155,0.1015,72,101,440.1312,3.2,26.1111,,,0,0,0,2017-10-23T01:11:46Z,22,0.354,1.119
18.0247,10.1619,0,0.1065,0,100,439.8264,3.3,26.1111,,,0,0,0,2017-10-23T01:11:47Z,23,0.354,1.119
17.5418,11.3611,0,0.1114,0,99,439.8264,3.4,26.1111,,,0,0,0,2017-10-23T01:11:48Z,24,0.354,1.119
17.3809,10.7781,0,0.1162,0,99,439.8264,3.5,26.1111,,,0,0,0,2017-10-23T01:11:49Z,25,0.354,1.119
17.059,12.9536,0,0.1209,0,97,439.8264,3.7,26.1111,,,0,0,0,2017-10-23T01:11:50Z,26,0.354,1.119
16.8981,10.7781,0,0.1256,0,96,439.5216,3.6,26.1111,,,0,0,0,2017-10-23T01:11:51Z,27,0.354,1.119
16.2544,9.5056,0,0.1301,0,95,439.5216,3.1,26.1111,,,0,0,0,2017-10-23T01:11:52Z,28,0.354,1.119
14.645,7.1855,0,0.1342,0,94,439.5216,2.4,26.1111,,,0,0,0,2017-10-23T01:11:53Z,29,0.354,1.119
11.9091,5.0809,0,0.1375,0,93,439.5216,1.3,26.1111,,,0,0,0,2017-10-23T01:11:54Z,30,0.354,1.119
9.6561,0,0,0.1402,0,92,439.5216,0.5,26.1111,,,0,0,0,2017-10-23T01:11:55Z,31,0.354,1.119
7.403,0,0,0.1422,0,91,439.5216,0.8,26.1111,,,0,0,0,2017-10-23T01:11:56Z,32,0.354,1.119
6.4374,0,0,0.144,0,89,439.2168,1.3,26.1111,,,0,0,0,2017-10-23T01:11:57Z,33,0.354,1.119
8.0467,3.5927,0,0.1463,0,88,439.2168,1.8,26.1111,,,0,0,0,2017-10-23T01:11:58Z,34,0.354,1.119
10.1389,3.5893,157,0.1491,46,85,439.2168,1.5,25.5556,,,0,0,0,2017-10-23T01:11:59Z,35,0.354,1.1211
12.3919,6.2168,213,0.1525,57,85,439.2168,1.2,25.5556,,,0,0,0,2017-10-23T01:12:00Z,36,0.354,1.1211
13.6794,8.0259,225,0.1563,62,86,439.2168,1.2,25.5556,,,0,0,0,2017-10-23T01:12:01Z,37,0.354,1.1211
14.806,8.0259,225,0.1604,70,86,439.5216,1.9,25.5556,,,0,0,0,2017-10-23T01:12:02Z,38,0.354,1.1211
15.9325,10.1521,206,0.1649,72,89,439.5216,2.8,25.5556,,,0,0,0,2017-10-23T01:12:03Z,39,0.354,1.1211
16.2544,11.9043,209,0.1694,73,90,439.2168,3.4,25.5556,,,0,0,0,2017-10-23T01:12:04Z,40,0.354,1.1211
16.5762,11.3501,202,0.174,75,92,439.2168,3.5,25.5556,,,0,0,0,2017-10-23T01:12:05Z,41,0.354,1.1212
16.8981,13.4297,210,0.1787,76,92,439.2168,3.7,25.5556,,,0,0,0,2017-10-23T01:12:06Z,42,0.354,1.1212
17.059,12.4335,217,0.1834,77,92,439.2168,4,25.5556,,,0,0,0,2017-10-23T01:12:07Z,43,0.354,1.1212
17.5418,11.9041,206,0.1883,79,91,439.5216,3.9,25.5556,,,0,0,0,2017-10-23T01:12:08Z,44,0.354,1.1212
17.8637,13.4297,212,0.1933,80,91,439.5216,3.9,25.5556,,,0,0,0,2017-10-23T01:12:09Z,45,0.354,1.1212
17.8637,13.4299,193,0.1982,69,90,439.5216,3.8,25.5556,,,0,0,0,2017-10-23T01:12:10Z,46,0.354,1.1211
18.0247,13.4299,153,0.2032,69,90,439.2168,3.5,25.5556,,,0,0,0,2017-10-23T01:12:11Z,47,0.354,1.1211
17.5418,12.9411,59,0.2081,32,91,439.2168,3.3,25.5556,,,0,0,0,2017-10-23T01:12:12Z,48,0.354,1.1212
16.2544,11.3501,0,0.2126,0,91,438.912,3.5,25.5556,,,0,0,0,2017-10-23T01:12:13Z,49,0.354,1.1212
14.9669,10.1519,0,0.2168,0,92,438.912,3.2,25.5556,,,0,0,0,2017-10-23T01:12:14Z,50,0.354,1.1212
13.6794,9.4962,0,0.2206,0,92,438.6072,3.5,25.5556,,,0,0,0,2017-10-23T01:12:15Z,51,0.354,1.1212
12.8748,8.7919,0,0.2241,0,92,438.6072,3.7,25.5556,,,0,0,0,2017-10-23T01:12:16Z,52,0.354,1.1211
12.3919,15.6454,0,0.2276,0,92,438.3024,4,25.5556,,,0,0,0,2017-10-23T01:12:17Z,53,0.354,1.1211
14.0013,18.9928,241,0.2315,65,89,438.3024,4.3,25.5556,,,0,0,0,2017-10-23T01:12:18Z,54,0.354,1.1211
15.4497,18.3015,212,0.2358,70,89,437.9976,3.7,25.5556,,,0,0,0,2017-10-23T01:12:19Z,55,0.354,1.1212
16.4153,19.3286,211,0.2403,77,90,437.9976,3.3,25.5556,,,0,0,0,2017-10-23T01:12:20Z,56,0.354,1.1212
17.3809,15.6448,217,0.2452,80,90,437.6928,2.5,25.5556,,,0,0,0,2017-10-23T01:12:21Z,57,0.354,1.1212
18.0247,13.4294,224,0.2502,83,91,437.6928,2.1,25.5556,,,0,0,0,2017-10-23T01:12:22Z,58,0.354,1.1212
19.3121,14.7982,231,0.2555,80,92,437.6928,2.1,25.5556,,,0,0,0,2017-10-23T01:12:23Z,59,0.354,1.1213
20.1168,16.0509,152,0.2611,59,93,437.6928,1.8,25.5556,,,0,0,0,2017-10-23T01:12:24Z,60,0.354,1.1213
20.2777,13.9003,160,0.2667,59,92,437.388,1.8,25.5556,,,0,0,0,2017-10-23T01:12:25Z,61,0.354,1.1213
20.1168,12.4328,45,0.2723,34,92,437.6928,1.5,25.5556,,,0,0,0,2017-10-23T01:12:26Z,62,0.354,1.1213
18.9903,12.4325,0,0.2776,0,91,437.6928,1.8,25.5556,,,0,0,0,2017-10-23T01:12:27Z,63,0.354,1.1213
17.5418,12.9402,0,0.2825,0,91,437.6928,2.1,25.5556,,,0,0,0,2017-10-23T01:12:28Z,64,0.354,1.1213
17.059,9.4953,0,0.2872,0,91,437.6928,2.1,25.5556,,,0,0,0,2017-10-23T01:12:29Z,65,0.354,1.1214
16.2544,10.1509,0,0.2917,0,91,437.6928,2.6,25.5556,,,0,0,0,2017-10-23T01:12:30Z,66,0.354,1.1214
15.6106,11.3491,268,0.2961,73,91,437.6928,3.2,25.5556,,,0,0,0,2017-10-23T01:12:31Z,67,0.354,1.1214
16.4153,10.1509,266,0.3006,77,91,437.6928,3.5,25.5556,,,0,0,0,2017-10-23T01:12:32Z,68,0.354,1.1214
17.22,12.4321,258,0.3054,78,91,437.6928,4,25.5556,,,0,0,0,2017-10-23T01:12:33Z,69,0.354,1.1214
17.7028,12.94,255,0.3103,80,92,437.388,4.3,25.5556,,,0,0,0,2017-10-23T01:12:34Z,70,0.354,1.1214
18.1856,13.8998,240,0.3154,82,92,437.388,4,25.5556,,,0,0,0,2017-10-23T01:12:35Z,71,0.354,1.1214
18.6684,13.4284,218,0.3206,83,96,437.6928,4.1,25.5556,,,0,0,0,2017-10-23T01:12:36Z,72,0.354,1.1214
18.6684,12.4323,228,0.3258,84,97,437.9976,4.1,25.5556,,,0,0,0,2017-10-23T01:12:37Z,73,0.354,1.1214
18.8293,11.3491,218,0.331,84,97,437.9976,4.1,25.5556,,,0,0,0,2017-10-23T01:12:38Z,74,0.354,1.1214
18.6684,11.903,207,0.3362,83,96,437.9976,4.4,25.5556,,,0,0,0,2017-10-23T01:12:39Z,75,0.354,1.1214
18.5075,12.94,184,0.3413,75,96,437.9976,4.7,25.5556,,,0,0,0,2017-10-23T01:12:40Z,76,0.354,1.1214
17.8637,11.3385,159,0.3463,57,94,438.3024,4.8,25,,,0,0,0,2017-10-23T01:12:41Z,77,0.354,1.1235
17.059,5.0707,0,0.351,0,92,437.9976,4.6,25,,,0,0,0,2017-10-23T01:12:42Z,78,0.354,1.1235
16.2544,9.4863,0,0.3555,0,89,437.6928,3.6,25,,,0,0,0,2017-10-23T01:12:43Z,79,0.354,1.1235
15.6106,12.4207,0,0.3599,0,87,437.6928,2.2,25,,,0,0,0,2017-10-23T01:12:44Z,80,0.354,1.1235
15.6106,11.8922,0,0.3642,69,86,437.9976,0.3,25,,,0,0,0,2017-10-23T01:12:45Z,81,0.354,1.1234
15.2888,11.3387,0,0.3685,68,85,438.3024,-1.1,25,,,0,0,0,2017-10-23T01:12:46Z,82,0.354,1.1234
15.4497,11.3387,0,0.3727,69,85,438.6072,-2.3,25,,,0,0,0,2017-10-23T01:12:47Z,83,0.354,1.1234
13.8404,12.421,0,0.3766,69,85,438.6072,-2.5,25,,,0,0,0,2017-10-23T01:12:48Z,84,0.354,1.1234
13.8404,11.8924,0,0.3804,54,85,438.912,-2.8,25,,,0,0,0,2017-10-23T01:12:49Z,85,0.354,1.1234
15.2888,0,0,0.3847,0,86,439.2168,-2.8,25,,,0,0,0,2017-10-23T01:12:50Z,86,0.354,1.1234
14.3232,3.5856,0,0.3887,0,85,439.2168,-1.9,25,,,0,0,0,2017-10-23T01:12:51Z,87,0.354,1.1235
13.0357,5.0707,0,0.3923,0,84,439.2168,-1,25,,,0,0,0,2017-10-23T01:12:52Z,88,0.354,1.1235
12.231,0,101,0.3957,54,84,439.2168,0.8,25,,,0,0,0,2017-10-23T01:12:53Z,89,0.354,1.1234
11.9091,0,97,0.399,53,83,439.2168,2.3,25,,,0,0,0,2017-10-23T01:12:54Z,90,0.354,1.1234
11.9091,0,43,0.4023,43,83,439.2168,2.7,25,,,0,0,0,2017-10-23T01:12:55Z,91,0.354,1.1234
11.5873,3.5858,0,0.4055,0,83,439.2168,2.7,25,,,0,0,0,2017-10-23T01:12:56Z,92,0.354,1.1234
10.6217,3.5858,0,0.4085,0,82,439.2168,2.6,25,,,0,0,0,2017-10-23T01:12:57Z,93,0.354,1.1233
10.6217,5.0712,76,0.4114,49,83,438.912,2.2,25,,,0,0,0,2017-10-23T01:12:58Z,94,0.354,1.1233
11.1045,5.0712,109,0.4145,50,83,438.912,2.5,25,,,0,0,0,2017-10-23T01:12:59Z,95,0.354,1.1233
11.9091,3.5859,60,0.4178,55,85,439.2168,2.4,25,,,0,0,0,2017-10-23T01:13:00Z,96,0.354,1.1233
12.3919,5.0712,77,0.4212,56,85,439.2168,1.8,25,,,0,0,0,2017-10-23T01:13:01Z,97,0.354,1.1233
12.7138,7.1718,66,0.4248,58,87,439.2168,1.4,25,,,0,0,0,2017-10-23T01:13:02Z,98,0.354,1.1233
13.1966,7.1718,36,0.4284,59,87,439.2168,0.6,25,,,0,0,0,2017-10-23T01:13:03Z,99,0.354,1.1233
13.3576,7.1718,74,0.4322,61,88,439.2168,0.6,25,,,0,0,0,2017-10-23T01:13:04Z,100,0.354,1.1233
14.0013,9.4874,44,0.436,63,88,439.2168,0.1,25,,,0,0,0,2017-10-23T01:13:05Z,101,0.354,1.1233
14.4841,10.7575,52,0.4401,66,88,439.5216,-0.4,25,,,0,0,0,2017-10-23T01:13:06Z,102,0.354,1.1233
15.1278,10.1422,79,0.4443,69,88,439.5216,-0.3,25,,,0,0,0,2017-10-23T01:13:07Z,103,0.354,1.1233
15.4497,8.0183,68,0.4486,68,88,439.5216,-0.3,25,,,0,0,0,2017-10-23T01:13:08Z,104,0.354,1.1233
15.2888,8.0183,74,0.4528,68,89,439.5216,0.2,25,,,0,0,0,2017-10-23T01:13:09Z,105,0.354,1.1233
15.2888,8.0183,72,0.4571,68,89,439.5216,0.9,25,,,0,0,0,2017-10-23T01:13:10Z,106,0.354,1.1233
15.1278,8.7836,66,0.4613,68,89,439.8264,1.4,25,,,0,0,0,2017-10-23T01:13:11Z,107,0.354,1.1233
